Name,n,RT_2022,RT_kmeans
Methane,1,NA,NA
Ethane,2,NA,NA
Propane,3,NA,NA
Butane,4,NA,NA
Pentane,5,NA,NA
n-Hexane,6,2.16,2.258
Heptane,7,3.14,3.277
Octane,8,4.71,4.896
Nonane,9,6.53,6.580500000000001
Decane,10,8.28,8.342500000000001
Undecane,11,9.94,10.0005
Dodecane,12,11.49,11.547
Tridecane,13,12.94,12.986
Tetradecane,14,14.3,14.343
Pentadecane,15,15.59,15.622
Hexadecane,16,16.8,16.849
Heptadecane,17,17.95,17.9815
Octadecane,18,19.04,19.137
Nonadecane,19,19.91,NA
Icosane,20,20.57,NA
Heneicosane,21,21.13,NA
Docosane,22,21.76,NA
Tricosane,23,NA,NA
Tetracosane,24,NA,NA
Pentacosane,25,NA,NA
Hexacosane,26,NA,NA
