Filename,type,notes,exclude,rundate,batch,year,conc,replicate,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.01_06302017.qgd,Standards,,,2017-06-30,2017 good,2017,0.01,,12443090,12017812,0,0,0,364184,0,0,0
STD3uL0.1_06302017.qgd,Standards,,,2017-06-30,2017 good,2017,0.1,,69630726,151485372,0,0,0,2366434,0,0,0
STD3uL0.01_07102017.qgd,Standards,,,2017-07-10,2017 good,2017,0.01,,7221190,9010944,15464356,6716928,834840,6093300,8520216,5913516,4568046
STD3uL0.1_07102017.qgd,Standards,,,2017-07-10,2017 good,2017,0.1,,60849524,67172576,98029950,36263528,3268642,40521334,66035750,57179684,31128702
STD3uL0.0001_07112017.qgd,Standards,,,2017-07-11,2017 good,2017,0.0001,,613564,0,0,0,0,1208728,0,0,0
STD3uL0.001_07112017.qgd,Standards,,,2017-07-11,2017 good,2017,0.001,,877978,3093632,3715100,0,0,2410356,0,0,1132322
STD3uL0.01_07112017.qgd,Standards,,,2017-07-11,2017 good,2017,0.01,,13624368,24326468,28980606,11016374,0,10561998,17856762,19736152,9654842
STD3uL0.0001_07122017.qgd,Standards,,,2017-07-12,2017 good,2017,0.0001,,825968,1843284,0,403258,0,2833992,0,4725550,0
STD3uL0.001_07122017.qgd,Standards,,,2017-07-12,2017 good,2017,0.001,,2654070,2464168,3652406,1901692,0,2325070,0,2326632,1575956
STD3uL0.001_07132017.qgd,Standards,,,2017-07-13,2017 good,2017,0.001,,1304124,1677190,787652,550656,0,1033568,1073166,0,793186
STD3uL0.0001_07242017.qgd,Standards,,,2017-07-24,2017 good,2017,0.0001,,421324,471582,0,106110,0,802186,0,0,0
STD3uL0.001_07242017.qgd,Standards,,,2017-07-24,2017 good,2017,0.001,,5606200,1916772,2780708,1002508,0,2113560,1924458,1440712,0
STD3uL0.01_07242017.qgd,Standards,,,2017-07-24,2017 good,2017,0.01,,0,0,0,0,0,0,0,9129114,0
STD3uL0.1_07242017.qgd,Standards,,,2017-07-24,2017 good,2017,0.1,,50196368,141355850,158237980,78775954,0,62437148,90846144,0,65642652
STD3uL0.1rep_07242017.qgd,Standards,,,2017-07-24,2017 good,2017,0.1,,65677136,253481554,287514932,143160660,1198400,103291204,128237980,102912656,106478414
STD3uL0.0001_07252017.qgd,Standards,,,2017-07-25,2017 good,2017,0.0001,,465380,789138,1275732,257754,0,1875198,572618,964342,0
STD3uL0.01_07252017.qgd,Standards,,,2017-07-25,2017 good,2017,0.01,,17044826,34602934,41367738,18226316,0,16564228,14753626,2141116,15699622
STD3uL0.01_07252017anal.qgd,Standards,,,2017-07-25,2017 good,2017,0.01,,17044826,34602934,41367738,18226316,0,16564228,14753626,2141116,15699622
STD3uL0.01rep_07252017.qgd,Standards,,,2017-07-25,2017 good,2017,0.01,,0,0,0,389638,0,0,735794,11862672,0
Alkanes3uL0.01_08172017.qgd,Alkanes,,,2017-08-17,2017 good,2017,0.01,,0,0,0,0,0,386493,0,0,0
STD3uL0.01_06152018.qgd,Standards,,,2018-06-15,2018 leak,2018a_leak,0.01,,267139,2006533,318275,586007,0,258323,203611,0,215777
STD3uL0.1_06152018.qgd,Standards,,,2018-06-15,2018 leak,2018a_leak,0.1,,1779191,9926315,1639018,1699455,0,1653433,1046088,85487,1768405
STD3uL0.01_06162018.qgd,Standards,,,2018-06-16,2018 leak,2018a_leak,0.01,,755758,5295675,6075285,2031150,0,2544883,0,0,665604
