sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff
2017-06-20T18:38:04Z,NA,NA,NA,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,6e5d79fc-eeb2-41c2-afb8-06ef46d981c6,1,NA
2017-06-22T11:34:58Z,NA,NA,NA,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,ea4e78f4-0f5a-413b-8ae7-61c1e03f173a,1,NA
2017-06-22T11:36:29Z,2017-06-22T18:41:30Z,NA,2017-06-22T18:41:30Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,5d2a9a16-1090-46b4-b654-42ca07e1f8e5,1,NA
2017-06-22T12:21:52Z,2017-06-22T19:24:28Z,2017-06-22T19:31:15Z,2017-06-22T19:24:28Z,NA NA,NA,1,NA,1,NA,407,,Markes test 3.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 3.qgd,bfc9f756-dd48-4a54-a9ac-73df346b52b3,1,2578
2017-06-22T13:23:08Z,2017-06-22T19:56:53Z,NA,2017-06-22T19:56:53Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,e2b14105-a5fe-4de2-97ec-2fe0a2bdc6ab,1,1945
2017-06-22T13:24:21Z,2017-06-22T20:29:18Z,NA,2017-06-22T20:29:18Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,44a10a5b-2402-4030-b487-97a9f09676b5,1,1945
2017-06-22T13:41:04Z,2017-06-22T20:43:51Z,NA,2017-06-22T20:43:51Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,b38c139c-684b-4a8a-8a8a-e1091bad7fba,1,873
2017-06-22T13:47:02Z,2017-06-22T20:49:58Z,NA,2017-06-22T20:49:58Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,000a7a0a-ceac-4d88-8070-c401ff22178f,1,367
2017-06-22T15:44:02Z,2017-06-22T21:49:20Z,NA,2017-06-22T21:49:20Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,f4a558bb-bd70-459d-bc37-1acfc5d4673c,1,3562
2017-06-22T15:45:32Z,2017-06-22T22:48:42Z,2017-06-22T22:53:47Z,2017-06-22T22:48:42Z,NA NA,NA,1,NA,1,NA,305,,Markes test 4.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,5a643b88-e3f0-425b-980c-7010b1e1e292,2,3562
2017-06-22T15:45:32Z,2017-06-22T22:48:42Z,2017-06-22T23:04:16Z,2017-06-22T22:48:42Z,NA NA,NA,1,NA,1,NA,934,,Markes test 5.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,5a643b88-e3f0-425b-980c-7010b1e1e292,2,0
2017-06-22T15:52:07Z,2017-06-22T22:55:10Z,2017-06-22T22:53:47Z,2017-06-22T22:53:47Z,NA NA,NA,1,NA,1,NA,83,,Markes test 4.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,47fa3073-8cb7-4eff-ad87-0c26abe7ef1c,2,388
2017-06-22T15:52:07Z,2017-06-22T22:55:10Z,2017-06-22T23:04:16Z,2017-06-22T22:55:10Z,NA NA,NA,1,NA,1,NA,546,,Markes test 5.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,47fa3073-8cb7-4eff-ad87-0c26abe7ef1c,2,0
2017-06-22T16:01:52Z,2017-06-22T23:04:41Z,2017-06-22T22:53:47Z,2017-06-22T22:53:47Z,NA NA,NA,1,NA,1,NA,654,,Markes test 4.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,589b1a43-e9ff-4702-971c-d85dd84e10c7,2,571
2017-06-22T16:01:52Z,2017-06-22T23:04:41Z,2017-06-22T23:04:16Z,2017-06-22T23:04:16Z,NA NA,NA,1,NA,1,NA,25,,Markes test 5.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,589b1a43-e9ff-4702-971c-d85dd84e10c7,2,0
2017-06-22T16:47:37Z,2017-06-22T23:50:27Z,2017-06-22T23:48:30Z,2017-06-22T23:48:30Z,NA NA,NA,1,NA,1,NA,117,,Iaggflrtest06222017.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Iaggflrtest06222017.qgd,9290985c-3883-47c3-82d6-7cec936b01ee,1,2746
2017-06-30T10:45:25Z,2017-06-26T20:56:06Z,NA,2017-06-26T20:56:06Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,49749a25-69de-474f-9fa2-2989f84bfe59,1,335139
2017-06-30T10:58:24Z,2017-06-30T18:01:45Z,NA,2017-06-30T18:01:45Z,NA NA,NA,1,NA,1,NA,NA,,NA,,NA,NA,a8cbe27d-4400-46d8-9812-3f607714bff4,1,335139
2017-06-30T11:56:50Z,2017-06-30T18:59:44Z,2017-06-30T18:56:03Z,2017-06-30T18:56:03Z,NA NA,NA,1,NA,1,NA,221,,STD3uL0.1_06302017.qgd,,Standards,C:/GCMSsolution/Data/Project1/RMBL Data/STD3uL0.1_06302017.qgd,b1e98799-b4c6-47a7-8e6d-3641e662e1d2,1,3479
