"qgbfile","size","mtime","batch","n_lines","n_sections","start_pos","end_pos","between","file_lines","seq_n"
"20180624 Test.qgb",8,"2018-06-24T14:14:01Z",NA,51,1,42,50,8,"Blank2",1
"20180624 Test.qgb",8,"2018-06-24T14:14:01Z",NA,51,1,42,50,8,"C:\GCMSsolution\Data\Project1\RMBL Batches\Blank_06242018.qgd	C:\GCMSsolution\Data\Project1\RMBL Batches\Blank2_06242018.qgd	",2
"20180625 Test.qgb",11,"2018-06-30T17:35:25Z",NA,100,2,41,47,6,"C:\GCMSsolution\Data\Project1\RMBL Batches\Blank_06302018.qgd	",1
"20180630 Test.qgb",8,"2018-06-30T17:38:55Z",NA,51,1,42,49,7,"STD3uL0.1;Unknown",1
"20180706 Test.qgb",9,"2018-07-12T22:04:09Z",NA,108,2,48,101,53,"C:\GCMSsolution\Data\Project;4.00;Admin;Admin;GCMS-QP2020 samples;GCMS-QP2020 samples;GCMS-QP2020 samples;GCMS;OQRepeat.txt;Run Mode;Vial#;Sample Name;Sample ID;Sample Type;Analysis Type;Method File;Data File;Level#;Inj. Volume;Mult-Inj.;ISTD Amt.;Sample Amt.;Dil. Factor;System Check;Tuning File;Report Output;Report File;User Prog.;Sampler File;Action;Data Description;Barcode;Baseline Data File;Option 1;Option 2;Option 3;Option 4;Option 5;MS UI Gothic (;EPA Sample#;Ext. Volume;QAQCData.txt;C:\GCMSsolution\Data\Project1\RMBL Data;C:\GCMSsolution\Data\Project1\RMBL Methods;C:\GCMSsolution\Data\Project1\RMBL Reports;std3uL0.01",1
"20180706 Test.qgb",9,"2018-07-12T22:04:09Z",NA,108,2,48,101,53,"C:\GCMSsolution\Data\Project",2
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"Bakeout",1
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"Bakeout",2
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"STD3uL0.001",3
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"STD3uL0.01",4
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"STD3uL0.1",5
"20180712 Test.qgb",9,"2018-07-12T22:40:23Z",NA,67,1,47,64,17,"5STD3uL0.1;Unknown",6
"20180712 Test2.qgb",9,"2018-07-15T17:06:48Z",NA,57,1,44,55,11,"STD3uL0.001",1
"20180712 Test2.qgb",9,"2018-07-15T17:06:48Z",NA,57,1,44,55,11,"STD3uL0.01",2
"20180712 Test2.qgb",9,"2018-07-15T17:06:48Z",NA,57,1,44,55,11,"5STD3uL0.1;Unknown",3
"20180715_STD.qgb",12,"2018-07-15T20:13:57Z",NA,120,2,45,58,13,"STD3uL0.0001",1
"20180715_STD.qgb",12,"2018-07-15T20:13:57Z",NA,120,2,45,58,13,"STD3uL0.001",2
"20180715_STD.qgb",12,"2018-07-15T20:13:57Z",NA,120,2,45,58,13,"STD3uL0.01",3
"20180715_STD.qgb",12,"2018-07-15T20:13:57Z",NA,120,2,45,58,13,"STD3uL0.1;Unknown",4
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;ly11",1
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;uly11",2
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July11",3
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July09",4
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July09",5
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July09",6
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July09",7
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July11",8
"Bakeout_20180721.qgb",9,"2018-07-21T21:35:16Z",NA,85,1,50,82,32,"Bake;July06;Unknown",9
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"Air1DJuly18",1
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF11DJuly18",2
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF13DJuly18",3
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF14DJuly18",4
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF26DJuly18",5
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF34DJuly18",6
"Ipotubes10_20180723.qgb",9,"2018-07-23T20:00:48Z",NA,76,1,50,73,23,"VF40DJuly18",7
