type,batch,year,yearbatch,standard,area_per_ng,ng_per_area,r2,n
Standards,2017 good,2017,2017 2017 good,a-pinene,207349.0608106714,4.822785288200997e-6,0.9603554720543195,19
Standards,2017 good,2017,2017 2017 good,linalool,511862.4447958154,1.953649872474831e-6,0.8351075128504496,19
Standards,2017 good,2017,2017 2017 good,methyl 2-hydroxybenzoate,455820.06126173236,2.193848154098244e-6,0.624642857316243,19
Standards,2017 good,2017,2017 2017 good,b-caryophyllene,215943.359989164,4.630843940050668e-6,0.5920875239573752,19
Standards,2017 good,2017,2017 2017 good,benzaldehyde,175016.5826651769,5.7137442908086805e-6,0.6622892319839677,19
Standards,2017 good,2017,2017 2017 good,indole,238151.974806432,4.1989994028510234e-6,0.695095412847685,19
Standards,2017 good,2017,2017 2017 good,a-farnesol,135308.49512071363,7.3905189700607016e-6,0.4609958910248645,19
Standards,2017 good,2017,2017 2017 good,(E)-hex-3-en-1-ol,170209.9642852814,5.875096703057549e-6,0.616083116003807,19
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,a-pinene,7247.623513527015,1.3797626189241107e-4,0.7895869285576012,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,linalool,45036.82994725616,2.2204049467316568e-5,0.44828253749053043,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,methyl 2-hydroxybenzoate,46925.847799394374,2.1310217010355345e-5,0.2117949018953917,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,b-caryophyllene,10777.37049234586,9.278701151734597e-5,0.5322774519771406,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,benzaldehyde,8989.41119902752,1.1124199103364863e-4,0.40581656758169976,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,indole,12724.551515747744,7.858823148009678e-5,0.37958362266305457,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,a-farnesol,2651.342914349621,3.771673571863494e-4,0.026802202509412343,27
Standards,2018 leak,2018a_leak,2018a_leak 2018 leak,(E)-hex-3-en-1-ol,17953.154691567463,5.570051710575951e-5,0.6903236061422943,27
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,a-pinene,109617.3346106255,9.122644730891562e-6,0.7372458400606935,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,linalool,323996.75281280995,3.0864506860590446e-6,0.6436993833952194,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,methyl 2-hydroxybenzoate,346125.08406137465,2.8891289480270106e-6,0.8265027445081117,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,b-caryophyllene,257215.59404883618,3.887789166508059e-6,0.809573449093394,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,benzaldehyde,102351.92330524564,9.770212104541362e-6,0.627839648071974,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,indole,194322.42088862538,5.1460865680195675e-06,0.8025050647513567,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,a-farnesol,124239.51806350937,8.048968762811966e-6,0.2131980862346326,49
Standards,2018 no leak,2018b_noleak,2018b_noleak 2018 no leak,(E)-hex-3-en-1-ol,341798.5245829619,2.9257001656754616e-6,0.7700211708475675,49
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,a-pinene,52841.87031509119,1.8924386930990375e-5,0.8748180517178551,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,linalool,262308.75721393025,3.8123012385150125e-6,0.6372081018226367,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,methyl 2-hydroxybenzoate,179595.59295190705,5.568065360422205e-6,0.5600550031764784,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,b-caryophyllene,125829.44071310111,7.947265714071333e-6,0.5091933830037384,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,indole,182243.61799336644,5.487160598602687e-6,0.6932301951355553,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,a-farnesol,17663.03001658374,5.6615427764155104e-5,0.464388427611524,6
Standards,Warmup,2019a_oldxfer,2019a_oldxfer Warmup,(E)-hex-3-en-1-ol,195004.72081260357,5.12808098097781e-6,0.9322764252463799,6
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,a-pinene,62799.63113946558,1.5923660407800765e-5,0.9731427370897308,10
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,linalool,445471.2863693561,2.244813595394933e-6,0.9628511781785003,10
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,methyl 2-hydroxybenzoate,274098.50816079316,3.6483233955194477e-6,0.9549396759607991,10
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,b-caryophyllene,4296.167784693213,2.327655832164873e-4,0.019483263033200804,10
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,indole,21397.869753419836,4.673362402536255e-5,0.6771242722853842,10
Standards,2019fresh,2019a_oldxfer,2019a_oldxfer 2019fresh,a-farnesol,11520.644343060145,8.680070057039686e-5,0.7824445526928717,10
