Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
3uL0.0001Tendeg_08092018.qgd,138170,0,136671,65792,0,343424,0,0,116882
5STD3uL0.1_07152018.qgd,17753581,99987601,89827364,72933128,4224262,32242461,54525295,5590086,95760471
5STD3uL0.1rep_07122018.qgd,42598393,95277351,84425512,65191050,4529003,28318554,39562395,5460689,82569101
Alk_3ul_0.01_MeOH_6202019_03.qgd,65175,0,0,0,0,396811,0,0,129363
Alkanes3uL0.01_08122018.qgd,0,0,0,0,0,106287,0,0,0
Alkanes3uL0.01_08172017.qgd,0,0,0,0,0,386493,0,0,0
Alkanes3uL0.01Adams_08112018.qgd,0,0,0,0,0,214367,0,0,0
Alkanes3uL0.01Adams08122018.qgd,0,0,0,0,0,0,0,0,0
Alkanes3uL0.01Adamsrep_08122018.qgd,0,0,0,0,0,53203,0,0,0
Alkanes3uL0.01Ipo_09032018.qgd,105751,0,0,2017456,0,625444,0,9801942,350736
Alkanes3uL0.01Tendeg_08112018.qgd,0,0,0,0,0,440407,0,0,0
Indole_3uL_0.0001_6212019_01.qgd,617854,0,119132,0,0,0,0,109130,192092
Indole_3uL_0.001_6212019_02.qgd,499705,458539,339836,0,0,0,0,0,484876
Indole_3uL_0.01_200C_220C_6212019_03.qgd,447844,0,196281,0,0,0,0,496596,0
Indole_3uL_0.01_250C_200C_6212019_04.qgd,80982,0,144738,0,0,630630,0,204173,0
Indole_3uL_0.1_6212019_05.qgd,94744,0,269804,0,0,1391166,39067174,730558,104572
STD10uL0.01_07062018.qgd,1903949,3895047,3045507,1705795,0,1203946,995501,342389,2866072
STD3mix3uL0.01_08122018.qgd,301850,38264,113516,0,0,250031,0,0,0
STD3mix3uL0.01rep_08122018.qgd,872648,0,0,0,0,504106,0,0,0
STD3uL0 (1).qgd,4936178,106835,15286961,9374599,0,262293,7334078,274967,6884032
STD3uL0 (2).qgd,40355450,0,127020215,96546358,0,322006,121113951,0,77965650
STD3uL0 (3).qgd,5469964,3351698,14338100,8626718,0,1203557,12196588,0,9452859
STD3uL0.0001_07062018.qgd,45448,78295,136345,16511,0,150032,0,210827,76022
STD3uL0.0001_07112017.qgd,613564,0,0,0,0,1208728,0,0,0
STD3uL0.0001_07122017.qgd,825968,1843284,0,403258,0,2833992,0,4725550,0
STD3uL0.0001_07122018.qgd,313533,387405,855392,514907,0,430192,663018,963135,503360
STD3uL0.0001_07152018.qgd,229991,1206318,1717070,0,0,865950,0,0,638777
STD3uL0.0001_07242017.qgd,421324,471582,0,106110,0,802186,0,0,0
STD3uL0.0001_07252017.qgd,465380,789138,1275732,257754,0,1875198,572618,964342,0
STD3uL0.0001_08062018.qgd,0,0,0,0,0,0,0,0,0
STD3uL0.0001_08072018.qgd,345789,773849,338215,185494,0,585590,0,338436,456836
STD3uL0.0001_09032018.qgd,291211,806417,782938,388970,0,663251,0,0,542270
STD3uL0.0001_2018fresh_6212019_01.qgd,648162,0,146473,0,0,0,0,221138,281364
STD3uL0.0001_2018old_6212019_02.qgd,312776,988027,473661,241427,0,845133,0,0,439922
Std3uL0.0001Aug24_0.0001A_08242018.qgd,458249,840464,590070,305711,0,873099,0,0,0
Std3uL0.0001Aug24_0.0001B_08242018.qgd,471216,982746,914465,388855,0,928682,0,1616048,1006160
Std3uL0.0001Aug24_0.0001C_08242018.qgd,321165,1646012,873912,431782,0,649549,0,775469,1172149
STD3uL0.0001rep1_6202019_05.qgd,162017,720648,196479,85682,0,0,0,0,96877
STD3uL0.0001rep2_08062018.qgd,236820,926574,315795,160542,151519,352455,0,0,403908
STD3uL0.0001rep2_6202019_12.qgd,1380918,0,628005,0,0,0,0,732019,920525
STD3uL0.0001try2_08062018.qgd,0,0,0,0,277376,0,0,0,0
STD3uL0.001_06202019.qgd,512506,4597235,3378800,803146,0,708355,0,28605816,1548976
STD3uL0.001_07052018.qgd,105701,146318,200284,78342,0,69248,166199,994662,114559
STD3uL0.001_07062018.qgd,54613,105049,105366,44468,0,84941,0,0,109715
STD3uL0.001_07112017.qgd,877978,3093632,3715100,0,0,2410356,0,0,1132322
STD3uL0.001_07122017.qgd,2654070,2464168,3652406,1901692,0,2325070,0,2326632,1575956
STD3uL0.001_07122018.qgd,6763446,15124198,12185450,7711141,662960,5082081,2811428,196149,11243930
STD3uL0.001_07132017.qgd,1304124,1677190,787652,550656,0,1033568,1073166,0,793186
STD3uL0.001_07242017.qgd,5606200,1916772,2780708,1002508,0,2113560,1924458,1440712,0
STD3uL0.001_08062018.qgd,1866160,3898383,2058762,1089961,0,1152694,0,0,1905685
STD3uL0.001_08182018.qgd,3266055,3865627,1769853,1201437,0,1516043,0,0,1756206
STD3uL0.001_09032018.qgd,1721409,5323450,2999062,1603317,0,1761761,0,0,3080822
STD3uL0.001_2018fresh_6212019_03.qgd,1460257,3170229,3030358,1480093,0,1020112,0,346289,2285933
